French,Spanish
les,los
de,de
et,y
à,para
une,a
dans,en
pour,por
est,es
au,sobre
cette,ese
par,por
cette,esta
avec,con
je,I
tu,usted
ce,eso
ne pas,no
ou,o
être,ser
sommes,están
de,de
à,a
comme,como
ton,tu
tous,todos
ont,tengo
Nouveau,nuevo
Suite,más
un,un
était,era
nous,nosotros
volonté,voluntad
domicile,hogar
pouvez,pueden
nous,nosotros
À propos,sobre
si,si
page,página
ma,mi
a,tiene
chercher,buscar
libre,gratis
mais,pero
notre,nuestro
une,uno
autre,otro
faire,hacer
non,no
informations,información
temps,tiempo
elles ou ils,ellos
placer,sitio
il,él
en haut,hasta
peut,mayo
Quel,qué
lequel,cuales
leur,su
nouvelles,Noticias
dehors,fuera
utilisation,usar
tout,alguna
là,allí
voir,ver
seul,solamente
donc,asi que
le sien,su
lorsque,cuando
contact,contacto
ici,aquí
Entreprise,negocio
qui,OMS
la toile,web
aussi,además
maintenant,ahora
aider,ayuda
avoir,obtener
pm,pm
vue,vista
en ligne,en línea
c,C
e,mi
premier,primero
un m,soy
été,estado
aurait,haría
comment,cómo
étaient,fueron
moi,me
s,s
prestations de service,servicios
certains,algunos
ces,estas
Cliquez sur,hacer clic
son,su
Comme,igual que
service,Servicio
X,X
que,que
trouve,encontrar
le prix,precio
Date,fecha
arrière,espalda
Haut,cima
personnes,gente
avais,tenía
liste,lista
Nom,nombre
seulement,solo
plus de,sobre
Etat,estado
année,año
journée,día
dans,dentro
e-mail,Email
deux,dos
santé,salud
n,norte
monde,mundo
ré,re
Suivant,Siguiente
utilisé,usó
aller,ir
b,B
travail,trabaja
dernier,último
plus,la mayoría
des produits,productos
musique,música
acheter,comprar
Les données,datos
Fabriquer,hacer
eux,ellos
devrait,deberían
produit,producto
système,sistema
Publier,correo
sa,ella
ville,ciudad
t,t
ajouter,agregar
politique,política
numéro,número
tel,tal
s'il te plaît,por favor
disponible,disponible
droits d'auteur,derechos de autor
Support,apoyo
un message,mensaje
après,después
meilleur,mejor
Logiciel,software
alors,luego
Jan,ene
bon,bien
vidéo,video
bien,bien
ré,D
où,dónde
Info,información
droits,derechos
Publique,público
livres,libros
haute,elevado
l'école,colegio
par,mediante
mèche,metro
chaque,cada
liens,Enlaces
elle,ella
revoir,revisión
années,años
ordre,pedido
très,muy
intimité,intimidad
livre,libro
éléments,elementos
entreprise,empresa
r,r
lire,leer
grouper,grupo
avoir besoin,necesitar
de nombreux,muchos
utilisateur,usuario
mentionné,dijo
de,Delaware
Est-ce que,lo hace
ensemble,colocar
sous,debajo
général,general
recherche,investigar
Université,Universidad
janvier,enero
courrier,correo
complet,lleno
carte,mapa
Commentaires,comentarios
programme,programa
la vie,vida
savoir,saber
Jeux,juegos
manière,camino
jours,dias
la gestion,administración
p,pag
partie,parte
pourrait,podría
super,estupendo
uni,Unido
Hôtel,hotel
réel,verdadero
F,F
Objet,artículo
international,internacional
centre,centrar
eBay,eBay
doit,debe
boutique,Tienda
voyager,viaje
commentaires,comentarios
fabriqué,hecha
développement,desarrollo
rapport,reporte
désactivé,apagado
membre,miembro
des détails,detalles
ligne,línea
termes,condiciones
avant,antes de
hôtels,hoteles hoteles
fait,hizo
envoyer,enviar
droit,Derecha
taper,escribe
car,porque
local,local
celles,aquellos
à l'aide de,utilizando
résultats,resultado
Bureau,oficina
éducation,educación
nationale,nacional
auto,coche
conception,diseño
prendre,llevar
posté,al corriente
l'Internet,Internet
adresse,Dirección
communauté,comunidad
dans,dentro de
États,estados
Région,zona
vouloir,querer
téléphone,teléfono
DVD,DVD
expédition,Envío
réservé,reservado
matière,tema
entre,Entre
forum,foro
famille,familia
l,l
longue,largo
basé,basado
à,w
code,código
spectacle,show
à,o
même,incluso
le noir,negro
Chèque,cheque
spécial,especial
des prix,precios
site Internet,sitio web
indice,índice
étant,ser
femmes,mujeres
beaucoup,mucho
signe,firmar
déposer,expediente
relier,Enlace
ouvert,abierto
aujourd'hui,hoy dia
La technologie,tecnología
Sud,Sur
Cas,caso
projet,proyecto
même,mismo
pages,páginas
Royaume-Uni,Reino Unido
version,versión
section,sección
posséder,propio
trouvé,fundar
des sports,Deportes
loger,casa
en relation,relacionado
Sécurité,seguridad
les deux,ambos
g,gramo
comté,condado
américain,americano
photo,Foto
