English,French
the,les
of,de
and,et
to,à
a,une
in,dans
for,pour
is,est
on,au
that,cette
by,par
this,cette
with,avec
i,je
you,tu
it,ce
not,ne pas
or,ou
be,être
are,sommes
from,de
at,à
as,comme
your,ton
all,tous
have,ont
new,Nouveau
more,Suite
an,un
was,était
we,nous
will,volonté
home,domicile
can,pouvez
us,nous
about,À propos
if,si
page,page
my,ma
has,a
search,chercher
free,libre
but,mais
our,notre
one,une
other,autre
do,faire
no,non
information,informations
time,temps
they,elles ou ils
site,placer
he,il
up,en haut
may,peut
what,Quel
which,lequel
their,leur
news,nouvelles
out,dehors
use,utilisation
any,tout
there,là
see,voir
only,seul
so,donc
his,le sien
when,lorsque
contact,contact
here,ici
business,Entreprise
who,qui
web,la toile
also,aussi
now,maintenant
help,aider
get,avoir
pm,pm
view,vue
online,en ligne
c,c
e,e
first,premier
am,un m
been,été
would,aurait
how,comment
were,étaient
me,moi
s,s
services,prestations de service
some,certains
these,ces
click,Cliquez sur
its,son
like,Comme
service,service
x,X
than,que
find,trouve
price,le prix
date,Date
back,arrière
top,Haut
people,personnes
had,avais
list,liste
name,Nom
just,seulement
over,plus de
state,Etat
year,année
day,journée
into,dans
email,e-mail
two,deux
health,santé
n,n
world,monde
re,ré
next,Suivant
used,utilisé
go,aller
b,b
work,travail
last,dernier
most,plus
products,des produits
music,musique
buy,acheter
data,Les données
make,Fabriquer
them,eux
should,devrait
product,produit
system,système
post,Publier
her,sa
city,ville
t,t
add,ajouter
policy,politique
number,numéro
such,tel
please,s'il te plaît
available,disponible
copyright,droits d'auteur
support,Support
message,un message
after,après
best,meilleur
software,Logiciel
then,alors
jan,Jan
good,bon
video,vidéo
well,bien
d,ré
where,où
info,Info
rights,droits
public,Publique
books,livres
high,haute
school,l'école
through,par
m,mèche
each,chaque
links,liens
she,elle
review,revoir
years,années
order,ordre
very,très
privacy,intimité
book,livre
items,éléments
company,entreprise
r,r
read,lire
group,grouper
need,avoir besoin
many,de nombreux
user,utilisateur
said,mentionné
de,de
does,Est-ce que
set,ensemble
under,sous
general,général
research,recherche
university,Université
january,janvier
mail,courrier
full,complet
map,carte
reviews,Commentaires
program,programme
life,la vie
know,savoir
games,Jeux
way,manière
days,jours
management,la gestion
p,p
part,partie
could,pourrait
great,super
united,uni
hotel,Hôtel
real,réel
f,F
item,Objet
international,international
center,centre
ebay,eBay
must,doit
store,boutique
travel,voyager
comments,commentaires
made,fabriqué
development,développement
report,rapport
off,désactivé
member,membre
details,des détails
line,ligne
terms,termes
before,avant
hotels,hôtels
did,fait
send,envoyer
right,droit
type,taper
because,car
local,local
those,celles
using,à l'aide de
results,résultats
office,Bureau
education,éducation
national,nationale
car,auto
design,conception
take,prendre
posted,posté
internet,l'Internet
address,adresse
community,communauté
within,dans
states,États
area,Région
want,vouloir
phone,téléphone
dvd,DVD
shipping,expédition
reserved,réservé
subject,matière
between,entre
forum,forum
family,famille
l,l
long,longue
based,basé
w,à
code,code
show,spectacle
o,à
even,même
black,le noir
check,Chèque
special,spécial
prices,des prix
website,site Internet
index,indice
being,étant
women,femmes
much,beaucoup
sign,signe
file,déposer
link,relier
open,ouvert
today,aujourd'hui
technology,La technologie
south,Sud
case,Cas
project,projet
same,même
pages,pages
uk,Royaume-Uni
version,version
section,section
own,posséder
found,trouvé
sports,des sports
house,loger
related,en relation
security,Sécurité
both,les deux
g,g
county,comté
american,américain
photo,photo
game,Jeu
members,membres
power,Puissance
while,tandis que
care,se soucier
network,réseau
down,vers le bas
computer,ordinateur
systems,systèmes
three,Trois
total,le total
place,endroit
end,finir
following,Suivant
download,Télécharger
h,h
him,lui
without,sans pour autant
per,par
access,accès
think,pense
north,Nord
resources,Ressources
current,courant
posts,des postes
big,gros
media,médias
law,loi
control,contrôler
water,l'eau
history,l'histoire
pictures,des photos
size,Taille
art,de l'art
personal,personnel
since,puisque
including,comprenant
guide,guider
shop,magasin
directory,annuaire
board,planche
location,emplacement
change,monnaie
white,blanche
text,texte
small,petit
rating,évaluation
rate,taux
government,gouvernement
children,enfants
during,pendant
usa,Etats-Unis
return,revenir
students,étudiants
v,v
shopping,achats
account,Compte
times,fois
sites,des sites
level,niveau
digital,numérique
profile,profil
previous,précédent
form,former
events,événements
love,amour
old,vieille
john,John
main,principale
call,appel
hours,les heures
image,image
department,département
title,Titre
description,la description
non,non
k,k
y,toi
insurance,Assurance
another,un autre
why,Pourquoi
shall,doit
property,biens
class,classer
cd,CD
still,toujours
