Spanish,French
los,les
de,de
y,et
para,à
a,une
en,dans
por,pour
es,est
sobre,au
ese,cette
por,par
esta,cette
con,avec
I,je
usted,tu
eso,ce
no,ne pas
o,ou
ser,être
están,sommes
de,de
a,à
como,comme
tu,ton
todos,tous
tengo,ont
nuevo,Nouveau
más,Suite
un,un
era,était
nosotros,nous
voluntad,volonté
hogar,domicile
pueden,pouvez
nosotros,nous
sobre,À propos
si,si
página,page
mi,ma
tiene,a
buscar,chercher
gratis,libre
pero,mais
nuestro,notre
uno,une
otro,autre
hacer,faire
no,non
información,informations
tiempo,temps
ellos,elles ou ils
sitio,placer
él,il
hasta,en haut
mayo,peut
qué,Quel
cuales,lequel
su,leur
Noticias,nouvelles
fuera,dehors
usar,utilisation
alguna,tout
allí,là
ver,voir
solamente,seul
asi que,donc
su,le sien
cuando,lorsque
contacto,contact
aquí,ici
negocio,Entreprise
OMS,qui
web,la toile
además,aussi
ahora,maintenant
ayuda,aider
obtener,avoir
pm,pm
vista,vue
en línea,en ligne
C,c
mi,e
primero,premier
soy,un m
estado,été
haría,aurait
cómo,comment
fueron,étaient
me,moi
s,s
servicios,prestations de service
algunos,certains
estas,ces
hacer clic,Cliquez sur
su,son
igual que,Comme
Servicio,service
X,X
que,que
encontrar,trouve
precio,le prix
fecha,Date
espalda,arrière
cima,Haut
gente,personnes
tenía,avais
lista,liste
nombre,Nom
solo,seulement
sobre,plus de
estado,Etat
año,année
día,journée
dentro,dans
Email,e-mail
dos,deux
salud,santé
norte,n
mundo,monde
re,ré
Siguiente,Suivant
usó,utilisé
ir,aller
B,b
trabaja,travail
último,dernier
la mayoría,plus
productos,des produits
música,musique
comprar,acheter
datos,Les données
hacer,Fabriquer
ellos,eux
deberían,devrait
producto,produit
sistema,système
correo,Publier
ella,sa
ciudad,ville
t,t
agregar,ajouter
política,politique
número,numéro
tal,tel
por favor,s'il te plaît
disponible,disponible
derechos de autor,droits d'auteur
apoyo,Support
mensaje,un message
después,après
mejor,meilleur
software,Logiciel
luego,alors
ene,Jan
bien,bon
video,vidéo
bien,bien
D,ré
dónde,où
información,Info
derechos,droits
público,Publique
libros,livres
elevado,haute
colegio,l'école
mediante,par
metro,mèche
cada,chaque
Enlaces,liens
ella,elle
revisión,revoir
años,années
pedido,ordre
muy,très
intimidad,intimité
libro,livre
elementos,éléments
empresa,entreprise
r,r
leer,lire
grupo,grouper
